company_name,topic_v2
#NotAnotherBitcoinPodcast,DeFi
$RSOL Movement Meme,Social Impact
A16z,Ethereum
AML Incubator,Security
APX Lending,DeFi
Acronym Foundation,Other
AeraTech,Other
Algorand Foundation,Layer2
Amazon Web Services,Infrastructure
American Bitcoin,Other
Ampli,AI x Crypto
Andrea Crespi Studio,Institutional Adoption
Angel Ai,AI x Crypto
Apex,Gaming
Appdome,Ethereum
Argentum AI,AI x Crypto
Argentum AI,Other
Artizyou + BIPQUANTUM,AI x Crypto
Association for Women in Cryptocurrency,Creator Economy
Association for Women in Cryptocurrency,Layer1
Association for Women in Cryptocurrency,Security
Association for Women in Cryptocurrency,Social Impact
Assure DeFi,Other
Author,DeFi
Avanti Way Realty,RWA
BTCS Inc.,DeFi
BVI Financial Services Commission,Ethereum
BVI Financial Services Commission,Regulation
Ben Franklin Digital Reserve,Bitcoin
Ben Franklin Digital Reserve,Regulation
Berkshire Hathaway HS,Ethereum
"Bette Hochberger, CPA, CGMA & Associates",Ethereum
BitBasel,AI x Crypto
BitBasel,DeFi
Bitcoin Butik,Ethereum
Bitford Digital,Social Impact
BlockQuake,AI x Crypto
Blockchain Futurist Conference,Ethereum
Blockchain Futurist Conference,Other
Blockchain Institute of Technology,Education
Blockchain Legal Institute,Ethereum
Blockchain North,Other
Blockstreet,RWA
Bloxcross Inc.,Payments
"Board F Member, Blockchain Game Alliance",Gaming
CETI,AI x Crypto
Cayman Finance,Regulation
Chapo,Other
City of Maimi's Department of Economic Innovation & Development,Other
CoinList,Ethereum
Coinbase,DeFi
Coinbase,Ethereum
Coinbase,Venture Capital
Cointelegraph,Infrastructure
Cointelegraph,Payments
Cointelegraph,Venture Capital
Collas Crill LLP,Ethereum
Collas Crill LLP,Regulation
"Counsel, Lewis Baach Kaufmann Middlemiss",Regulation
CreateHER Fest,Other
Crypto Coin Show,DeFi
Crypto Kids!,Education
CryptoChicks & Metis,AI Agents
CryptoChicks & Metis,Ethereum
CryptoChicks & Metis,Other
DAO UTAH,Regulation
DeLorean,Other
Decrypt,Other
Decrypt,Security
DiamondLake,RWA
DigiShares,RWA
Digital Ascension Group,Institutional Adoption
Digital Spenders Club,Other
Disruptor DAO,Other
Doginal Dogs,DeFi
Dolphinze,Ethereum
Dune,Security
E11EVEN Miami,RWA
EVERY.MEME,DeFi
EY,RWA
Electroneum,Institutional Adoption
Eliza Labs,AI x Crypto
"Executive Director, Miami-Dade Digital Commission",Regulation
F3 Funds,Institutional Adoption
FP Block,Security
Fhenix,Layer2
Figment Inc.,DeFi
Filecoin Foundation,Security
Florida House of Representatives,Payments
Florida-25,Regulation
"Formation Ai Labs, Inc.",AI x Crypto
GeniusRoom,Social Impact
Genzio Media,AI x Crypto
Genzio Media,Infrastructure
Go Arlo,AI x Crypto
Gowling WLG,Institutional Adoption
Gowling WLG,Stablecoins
Grinhaus Law Firm,RWA
HODL Markets Inc,AI x Crypto
Harness All Possibilities,Ethereum
Harness All Possibilities,Other
Heir.es,AI x Crypto
Hut 8,Other
HyperCycle.ai,AI x Crypto
Impact Theory,AI x Crypto
Impact Theory,Other
InOrbyt,Ethereum
Infineo,AI x Crypto
Interstellar Digital,Ethereum
InvestorBrandNetwork,Infrastructure
K9 Finance,Infrastructure
KWARXS,RWA
Kurkuma,Infrastructure
Kuvi.ai,AI x Crypto
Leeward,Regulation
Legion,Other
"Lightspeed Crypto Services, LLC",AI x Crypto
Look,Other
LumaLex Law,Bitcoin
Luna Media Corporation,RWA
MMH Technology Group,Ethereum
Mainsail Family Office Collective,Ethereum
Maple Finance,DeFi
Marketing Lead,AI x Crypto
"Mayor, Mayor of Hollywood, FL.",Other
Meanwhile,Bitcoin
Messari,DeFi
MoonPay,Ethereum
Mysten Labs,AI x Crypto
Mysten Labs,Other
N3on Media,Other
NFT-VIP.io,DeFi
NFT-VIP.io,Ethereum
NFT-VIP.io,Other
NFTCLT,Infrastructure
Natcrypto Realty,RWA
New Friendship Tech,DeFi
Nexa: Bitcoin Unlimited,Bitcoin
Nexa: Bitcoin Unlimited,Layer2
NextTech Ventures,AI x Crypto
Nexus F Labs,DeFi
NoIDPay Inc.,Payments
Notabene,Regulation
OG Labs,AI x Crypto
OKX,DeFi
OLAGG,Gaming
OPTN Labs,Bitcoin
One Ocean Foundation,Institutional Adoption
OpenSea,DeFi
Optio Blockchain,Infrastructure
Oregon Blockchain Group,Ethereum
PTT COIN,Ethereum
Palladium Network,DeFi
Parfin,Regulation
Peace Through Trade Blockchain & PTT Coin,AI x Crypto
Phala Cloud,Ethereum
Pledge Protocol,RWA
PriceDepth,Gaming
Project Eleven,Infrastructure
Pudgy Penguins,Other
Pulse Digital Marketing,DeFi
Purple Horizons: Marketing Innovation Lab,AI x Crypto
Purple Horizons: Marketing Innovation Lab,Institutional Adoption
QUANTUM TCG,Gaming
Quantum Block Holdings,Ethereum
QuickNode,Payments
RAZE,RWA
RYKI Ltd.,Regulation
Rarible,Institutional Adoption
Red Light Holland,Bitcoin
Red Light Holland,RWA
ReserveOne,Bitcoin
ReserveOne,Ethereum
Rhythm,RWA
Rilea Group,RWA
SDM,Stablecoins
SMOTHER,Other
Sadis & Goldberg LLP,Stablecoins
Sapien,Other
Sarson Funds,AI x Crypto
