company_id,company_name,number_of_sessions,number_of_speakers,topic_diversity,company_influence_score
company_0018,Association for Women in Cryptocurrency,5,1,4,31.0
company_0043,Coinbase,3,3,3,30.0
company_0031,Blockchain Futurist Conference,5,2,2,29.0
company_0111,NFT-VIP.io,4,1,3,25.0
company_0045,Collas Crill LLP,3,2,2,23.0
company_0153,Sarson Funds,3,2,2,23.0
company_0154,Secret Network,3,2,2,23.0
company_0044,Cointelegraph,3,1,3,22.0
company_0050,CryptoChicks & Metis,3,1,3,22.0
company_0174,The Crypto Strategy Academy,4,1,2,22.0
company_0191,Women in Blockchain Canada,3,1,3,22.0
company_0016,Argentum AI,2,2,2,20.0
company_0027,BitBasel,2,2,2,20.0
company_0138,Purple Horizons: Marketing Innovation Lab,2,2,2,20.0
company_0166,Spree.Finance,2,2,2,20.0
company_0059,Doginal Dogs,2,2,1,17.0
company_0171,Tangem,2,2,1,17.0
company_0023,BVI Financial Services Commission,2,1,2,16.0
company_0024,Ben Franklin Digital Reserve,2,1,2,16.0
company_0053,Decrypt,2,1,2,16.0
company_0077,Genzio Media,2,1,2,16.0
company_0079,Gowling WLG,2,1,2,16.0
company_0082,Harness All Possibilities,2,1,2,16.0
company_0086,Impact Theory,2,1,2,16.0
company_0109,Mysten Labs,2,1,2,16.0
company_0115,Nexa: Bitcoin Unlimited,2,1,2,16.0
company_0145,Red Light Holland,2,1,2,16.0
company_0146,ReserveOne,2,1,2,16.0
company_0165,SporkDAO and ETHDenver,2,1,2,16.0
company_0010,American Bitcoin,1,2,1,14.0
company_0056,Digital Ascension Group,1,2,1,14.0
company_0005,APX Lending,2,1,1,13.0
company_0012,Andrea Crespi Studio,2,1,1,13.0
company_0020,Author,2,1,1,13.0
company_0022,BTCS Inc.,2,1,1,13.0
company_0036,Bloxcross Inc.,2,1,1,13.0
company_0039,Cayman Finance,2,1,1,13.0
company_0048,Crypto Coin Show,2,1,1,13.0
company_0054,DiamondLake,2,1,1,13.0
company_0065,Electroneum,2,1,1,13.0
company_0066,Eliza Labs,2,1,1,13.0
company_0095,Leeward,2,1,1,13.0
company_0103,Maple Finance,2,1,1,13.0
company_0116,NextTech Ventures,2,1,1,13.0
company_0118,NoIDPay Inc.,2,1,1,13.0
company_0121,OKX,2,1,1,13.0
company_0124,One Ocean Foundation,2,1,1,13.0
company_0130,Parfin,2,1,1,13.0
company_0141,QuickNode,2,1,1,13.0
company_0143,RYKI Ltd.,2,1,1,13.0
company_0144,Rarible,2,1,1,13.0
company_0156,Sequence,2,1,1,13.0
company_0179,Transak,2,1,1,13.0
company_0189,Web3Lab,2,1,1,13.0
company_0195,ZH Media,2,1,1,13.0
company_0194,Youth I-t Program CryptoChicks,2,0,2,12.0
company_0001,#NotAnotherBitcoinPodcast,1,1,1,10.0
company_0002,$RSOL Movement Meme,1,1,1,10.0
company_0003,A16z,1,1,1,10.0
company_0004,AML Incubator,1,1,1,10.0
company_0006,Acronym Foundation,1,1,1,10.0
company_0007,AeraTech,1,1,1,10.0
company_0008,Algorand Foundation,1,1,1,10.0
company_0009,Amazon Web Services,1,1,1,10.0
company_0011,Ampli,1,1,1,10.0
company_0013,Angel Ai,1,1,1,10.0
company_0014,Apex,1,1,1,10.0
company_0015,Appdome,1,1,1,10.0
company_0017,Artizyou + BIPQUANTUM,1,1,1,10.0
company_0019,Assure DeFi,1,1,1,10.0
company_0021,Avanti Way Realty,1,1,1,10.0
company_0025,Berkshire Hathaway HS,1,1,1,10.0
company_0026,"Bette Hochberger, CPA, CGMA & Associates",1,1,1,10.0
company_0028,Bitcoin Butik,1,1,1,10.0
