speaker_id,speaker_name,speaker_title,speaker_company,number_of_sessions,number_of_topics,number_of_stages,speaker_influence_score
speaker_0011,Amanda Wick,,Association for Women in Cryptocurrency,5,4,2,41.0
speaker_0114,Julie Lamb,,NFT-VIP.io,4,3,2,33.0
speaker_0030,Ashley Wright,,The Crypto Strategy Academy,4,2,1,28.0
speaker_0063,Elena Sinelnikova,,CryptoChicks & Metis,3,3,2,28.0
speaker_0117,Justyna Osowska,,Women in Blockchain Canada,3,3,2,28.0
speaker_0178,Sam Bourgi,,Cointelegraph,3,3,2,28.0
speaker_0141,Mahyar Akhbari,,Blockchain Futurist Conference,4,1,1,25.0
speaker_0004,Adam Garetson,,Gowling WLG,2,2,2,20.0
speaker_0017,Andrew Stone,,Nexa: Bitcoin Unlimited,2,2,2,20.0
speaker_0088,Jaime Leverton,,ReserveOne,2,2,2,20.0
speaker_0126,Kishelle Blaize-Cameron,,BVI Financial Services Commission,2,2,2,20.0
speaker_0171,Rohan Handa,,Mysten Labs,2,2,2,20.0
speaker_0175,Russell Castagnaro,Board Member,SporkDAO and ETHDenver,2,2,2,20.0
speaker_0213,Zachary Nelson,,Genzio Media,2,2,2,20.0
speaker_0018,André Beganski,,Decrypt,2,2,1,18.0
speaker_0097,Jason Brett,Founder,Ben Franklin Digital Reserve,2,2,1,18.0
speaker_0169,Rhonda Eldridge,,Harness All Possibilities,2,2,1,18.0
speaker_0198,Todd Shapiro,,Red Light Holland,2,2,1,18.0
speaker_0199,Tom Bilyeu,,Impact Theory,2,2,1,18.0
speaker_0012,Ana Jacobson,,Tangem,2,1,2,17.0
speaker_0014,Andrei Poliakov,,APX Lending,2,1,2,17.0
speaker_0019,Anewbiz.,,Secret Network,2,1,2,17.0
speaker_0039,Brian J. Esposito,,DiamondLake,2,1,2,17.0
speaker_0045,Chantelle Day,,Collas Crill LLP,2,1,2,17.0
speaker_0069,Erik LaPaglia,,NextTech Ventures,2,1,2,17.0
speaker_0083,Haymond Rankin,,Cayman Finance,2,1,2,17.0
speaker_0092,Jamie Roberts,,Leeward,2,1,2,17.0
speaker_0132,Lee Skinner,,Tangem,2,1,2,17.0
speaker_0134,Lennon Sweeting,,RYKI Ltd.,2,1,2,17.0
speaker_0144,Mario Yaksetig,,Parfin,2,1,2,17.0
speaker_0192,Shaw Walters,,Eliza Labs,2,1,2,17.0
speaker_0008,Alexander Salnikov,,Rarible,2,1,1,15.0
speaker_0013,Andrea Crespi,,Andrea Crespi Studio,2,1,1,15.0
speaker_0022,Annelise Osborne,,Author,2,1,1,15.0
speaker_0028,Art Malkov,,Web3Lab,2,1,1,15.0
speaker_0031,Ashton Addison,,Crypto Coin Show,2,1,1,15.0
speaker_0047,Charles Allen,,BTCS Inc.,2,1,1,15.0
speaker_0058,Diego Baez,,Bloxcross Inc.,2,1,1,15.0
speaker_0064,Elina Cohen,,QuickNode,2,1,1,15.0
speaker_0093,Jan Pachner,,One Ocean Foundation,2,1,1,15.0
speaker_0109,John Sarson,,Sarson Funds,2,1,1,15.0
speaker_0170,Richard Ells,,Electroneum,2,1,1,15.0
speaker_0174,Roshan Robert,,OKX,2,1,1,15.0
speaker_0176,Ryan Pacht,,NoIDPay Inc.,2,1,1,15.0
speaker_0177,Sam Barberie,,Sequence,2,1,1,15.0
