speaker_name,topic_v2
25th Congressional District,Regulation
Aaron Grinhaus,RWA
Adam Cai,RWA
Adam Garetson,Institutional Adoption
Adam Garetson,Stablecoins
Adriann Guy,Other
Alex Hochberger,Layer2
Alex Kosloff,Gaming
Alexander Salnikov,Institutional Adoption
Alice Hou,DeFi
Alice Shikova,AI x Crypto
Amanda Wick,Creator Economy
Amanda Wick,Layer1
Amanda Wick,Security
Amanda Wick,Social Impact
Ana Jacobson,Consumer Crypto
Andrea Crespi,Institutional Adoption
Andrei Poliakov,DeFi
Andrew Smith,AI x Crypto
Andrew Sobko,AI x Crypto
Andrew Stone,Bitcoin
Andrew Stone,Layer2
André Beganski,Other
André Beganski,Security
Anewbiz.,AI x Crypto
Angelé Doyne,Other
Anna.,Security
Annelise Osborne,DeFi
Anthony Anzalone,Infrastructure
Anthony Rodriguez,Other
Anthony Werner,Infrastructure
Armita Jalooli,Ethereum
Arnaud Simeray,Security
Art Malkov,Institutional Adoption
Asher Genoot,Other
Ashley Wright,Ethereum
Ashley Wright,Other
Ashton Addison,DeFi
Austin Baker,DeFi
Ben Goertzel,Other
Ben Grant,DeFi
Ben Thalman,DeFi
Bette Hochberger,Ethereum
Betty Sharples,Infrastructure
Bria Han,DeFi
Brian J. Esposito,RWA
Bryan Ferre,Infrastructure
CAMS,AI x Crypto
Cade Bergman,RWA
Carol Van Cleef,Regulation
Chairman Elijah John Bowdre,Regulation
Chantelle Day,Regulation
Charlene Wang,AI x Crypto
Charles Allen,DeFi
Charlotte Laborde,Ethereum
ChicaBTC.,Ethereum
Clara Tsao,Security
Clare Adelgren,RWA
Clark Alexander,Other
Dave Shallenberger,Regulation
David Gallo,RWA
David Wachsman,RWA
Dean Skurka,Regulation
Dico Angelo,RWA
Diego Baez,Payments
Diego Ojeda,RWA
Dustin Robinson Esp. CPA,Bitcoin
Dustin Stockton,Other
Dylan Dewdney,AI x Crypto
Elena Sinelnikova,AI Agents
Elena Sinelnikova,Ethereum
Elena Sinelnikova,Other
Elina Cohen,Payments
Emma Todd,Ethereum
Erai Beckmann,AI x Crypto
Eric Spivak,DeFi
Eric Trump,Other
Erik LaPaglia,AI x Crypto
Erik Mendelson,RWA
Evan Kuhn,Other
Everton Fraga,Infrastructure
Fadjiah Collin-Mazile,Ethereum
Florent Thévenin,Other
Francky Perez,Gaming
Gabriel Sadoun,RWA
Garett Nell,Infrastructure
George Levy,Education
George Varghese F,AI x Crypto
Gianni D'Alerta,AI x Crypto
Graeme Moore,Infrastructure
Guillermo Gonzalez III,Gaming
Haymond Rankin,Regulation
Heather Hartinger,Ethereum
Henryk Dabrowski,Institutional Adoption
Iggy Azalea,Other
Jacqueline Cooper,Ethereum
Jaime Leverton,Bitcoin
Jaime Leverton,Ethereum
Jake Antifaev,Other
Jake Claver,Institutional Adoption
James Slusser,Infrastructure
Jamie Roberts,Regulation
Jan Pachner,Institutional Adoption
Janelle Chalouhi,Infrastructure
Janet Adams,AI x Crypto
Jaou Toure,AI x Crypto
Jason Brett,Bitcoin
Jason Brett,Regulation
Jason Leibowitz,Bitcoin
